Actors,Movies in the top 250
John Ritter,1
John Savage,1
John Travolta,1
John Williams,1
John Wray,1
Johnny Depp,1
Johnny Sekka,1
Jon Bernthal,1
Jane Darwell,1
James Robinson,1
Elizabeth McGovern,1
Gene Tierney,1
Frederic Forrest,1
Fredric March,1
Gabriel Byrne,1
Gary Cooper,1
Gary Lockwood,1
Gene Hackman,1
Gene Kelly,1
Gene Lockhart,1
Gene Wilder,1
Ginnifer Goodwin,1
Genevieve Zweig,1
Geoffrey Rush,1
George Kennedy,1
George Macready,1
George Raft,1
George Segal,1
Gerald R. Molen,1
Gerard Butler,1
Fred Willard,1
Frank Vincent,1
Frank Sinatra,1
Frank Overton,1
Ellen DeGeneres,1
Ellen Page,1
Elsa Lanchester,1
Emile Hirsch,1
Emilia Fox,1
Emma Thompson,1
Eric Bana,1
Erich von Stroheim,1
Ernest Borgnine,1
Eva Marie Saint,1
Evelyn Keyes,1
Ewen Bremner,1
Fionnula Flanagan,1
Florence Lee,1
Forest Whitaker,1
Frank Adu,1
Frank Morgan,1
Gerry Robert Byrne,1
Gino Ardito,1
James Mason,1
Jacob Stringer,1
Idris Elba,1
Irene Papas,1
J.D. Cannon,1
J.K. Simmons,1
J.T. Walsh,1
Jack Oakie,1
Jackie Coogan,1
Jackie Gleason,1
Jacob Tremblay,1
Gladys George,1
Jacob Warner,1
James Caan,1
James Cosmo,1
James Cromwell,1
James Donald,1
James Garner,1
James Gleason,1
James Laurenson,1
Hugh Keays-Byrne,1
Howard Da Silva,1
Holmes Osborne,1
Hilary Swank,1
Glen Cavender,1
Gloria Swanson,1
Groucho Marx,1
Hakeem Kae-Kazim,1
Haley Joel Osment,1
Hanno Pöschl,1
Hardy Krüger,1
Harpo Marx,1
Harriet Andersson,1
Harry Myers,1
Hartley Power,1
Harvey Keitel,1
Haya Harareet,1
Heath Ledger,1
Helena Bonham Carter,1
Henry Daniell,1
Henry Fonda,1
John Matthews,1
